Date,Start_destination,End_destination,Am_timings,Midday_timings,Evening_timings,Mid_nigh_timings
2021-12-19,Anjana Nagar,Basaveshwara Nagar,18,27,28,11
2021-08-27,Narayanaghatta,Vasanth Nagar,19,28,28,21
2022-02-19,Sulikere,MTS Layout,18,34,25,16
2020-04-30,Hegde Nagar,V S Reddy Colony,19,29,29,11
2021-04-26,Sulivara,Horamavu,15,26,27,30
2021-06-01,Manorayana Palya,Vignana Nagar,16,28,28,20
2021-07-26,Old Airport Road,Thyagaraja Nagar 2nd Block,20,25,28,11
2021-04-27,Narasapura,Tunganagara,18,29,30,28
2021-03-26,Ashirvad Colony,Thanisandra Main Road,12,29,26,18
2022-05-12,Ananth Nagar Phase 2,Marathahalli,16,37,26,11
2020-05-25,Subbaiyapalya,Sakalavara,20,26,29,29
2021-09-08,Narayana Nagar 1st Block,Jalahalli West,15,29,30,23
2021-04-28,Kasavanahalli,Nandi Hills,14,30,30,14
2022-03-14,Peenya,Nirman Layout,17,36,25,13
2021-08-25,Laggere Bridge,Thanisandra,12,36,28,16
2020-11-24,Maruthi Extension,Magadi Road,19,26,28,21
2021-07-30,Ramohalli,VHBCS Layout,18,31,25,10
2021-07-20,Kumbiganahalli,Makali,19,35,30,25
2020-06-22,Patel Narayanswamy Layout,AMCO Colony,14,28,30,13
2020-06-15,Vasanthapura Main Road,Nandi Hills,15,27,30,19
2021-10-14,New Timberyard Layout,Basavanagudi,19,26,25,17
2021-04-30,Marathahalli ORR,Adityanagar-Vidyaranyapura,18,32,28,21
2020-05-01,NRI Layout,AMCO Colony,20,37,28,21
2021-09-21,Reddypalya,Kumaraswamy Layout,15,29,30,24
2020-05-08,Nagavarapalya,Lakshmidevipura,17,35,27,26
2021-01-06,Majestic,Thimaiah Garden,20,32,25,17
2020-04-07,Kothanoor,Visthar,16,26,25,14
2022-05-29,Nandini Layout,Adakamaranahalli,17,31,28,21
2020-04-03,Alfa Gardens,Uttarahalli Main Road,15,38,27,22
2022-02-13,Kalena Agrahara,Vagata,12,32,30,28
2021-01-15,Yelanahalli,Nayanda Halli,19,30,29,15
2021-06-25,Muthyala Nagar,Anchepalya,20,35,25,14
2020-11-30,RKM Layout,MC Layout,20,40,27,28
2022-01-29,RPC Layout,Ayyappa Nagar,16,31,29,28
2021-12-28,Narasipura Layout,Sanjay Nagar,12,26,25,21
2022-01-23,Millers Road,Bilekahalli,17,29,29,13
2021-11-23,Nayanda Halli,Kattigenahalli,16,25,27,12
2022-05-09,Telecom Layout,Rajaji Nagar,20,40,28,20
2021-08-31,Langford Gardens,Nagapura,19,37,26,15
2020-10-07,Suggatta,Venkateshwara Layout,20,27,26,18
2020-09-09,Old Byappanahalli,S.Medihalli,13,28,26,13
2020-09-30,Rustam Bagh Layout,Mahadeva Kodigehalli,19,25,29,20
2020-11-18,Mico Layout,Sunkadakatte,12,26,25,13
2021-01-01,Vehloli,Sulikere,13,30,29,18
2021-10-30,Margondanahalli,Mathrushree Layout,16,34,29,20
2021-04-07,Punappa Layout,Lavelle Road,13,27,25,29
2020-08-17,Valepura,Sakalavara,12,25,29,24
2021-11-05,Srinivagilu,Kudlu Gate,12,28,25,15
2021-12-09,Nyanappana Halli,Syndicate Bank Colony-Arekere,13,36,25,23
2022-04-08,Aga Abbas Ali Road,Vijayashri Layout,18,38,30,15
2021-03-22,Thubarahalli,Manchenahalli,19,29,28,24
2021-09-28,Tharabanahalli,Sanjeevini Nagar,18,35,25,10
2022-05-11,VHBCS Layout,Palya,20,37,28,19
2021-02-16,Dommasandra,NGR Layout,14,32,30,30
2021-04-02,Jeevanbheema Nagar,Vidyapeeta Layout,20,32,29,27
2021-08-12,Manganahalli,NGR Layout,18,31,30,27
2020-03-17,Kushal Nagar,Williams Town,18,34,30,10
2020-06-12,Reddypalya,Srinivaspura,20,35,26,26
2020-06-09,Minerva Circle,Valepura,18,39,25,25
2021-10-15,Vadarpalya,Attiguppe,12,35,26,18
2020-09-18,Rajiv Gandhi Nagar,Muneswara Nagar,14,40,30,24
2020-04-27,Pillahalli,Viveka Nagar,16,33,29,23
2022-04-02,Belatur,New Bank Colony,19,32,29,12
2020-02-26,Vidyamanya Nagar,Tippenahalli,12,35,27,26
2021-02-12,Vishweshwarapura,Ananth Nagar Phase 1,14,39,30,12
2021-02-27,Old Airport Road,Tapsihalli,16,26,25,15
2022-04-16,Kothanur,RKM Layout,16,26,27,29
2022-04-23,Suddaguntapalya-CV Raman Nagar,Majestic,12,31,26,21
2022-02-26,Averahalli,Nagvarpalya Main Road,15,35,30,25
2020-08-27,MCECHS Layout,Remco Layout,14,39,26,21
2020-07-15,Nagavara,Arabic College,13,27,25,24
2021-02-16,A Narayanapura,Thubarahalli,12,26,25,14
2021-12-06,Williams Town,Yadava Upanagara,17,30,25,17
2021-12-18,HSR Layout,Austin Town,19,25,27,25
2021-02-11,Kammanahalli,Sadenahalli,13,31,28,12
2020-03-18,Udaypura,Lakkondally,12,38,29,20
2020-06-26,Yelahanka,RPC Layout,19,30,28,26
2021-08-30,Naidu Layout,NGR Layout,17,29,26,10
2020-08-21,Malle Nalsandra,Bilekahalli,19,32,25,18
2021-11-19,Medahalli,KR Road,18,36,27,14
2020-11-04,Thirumagondanahalli,Off Hennur Road,14,25,25,10
2020-10-14,Laggere Road,Tharaballi,15,30,25,19
2022-02-19,Peenya 1st Stage,Anekal,12,33,25,24
2020-11-26,Vinayaka Layout,Nelakadiranahalli,18,28,28,30
2021-07-13,NGR Layout,Amarjyothi Layout-RMV Layout,19,27,29,24
2020-03-04,Nehru Nagar,Hebbal,17,34,26,11
2020-10-15,Chikbanavara,Ajjagondahalli,13,33,27,26
2020-10-02,Machohalli,Rest House Road,20,38,25,28
2021-06-02,Outer Ring Road,Agram-Domlur,13,40,25,29
2021-05-20,Ashwini Layout,Amrita Nagar,18,39,28,10
2021-04-08,NR Layout,Museum Road,15,40,26,29
2022-01-04,Rashtriya Vidyalaya Road,Pragathi Nagar,12,27,30,23
2022-05-28,Mariyannapalya,Pattanagere,20,39,25,13
2020-03-16,Madhava Nagar,Mookambika Nagar,17,25,27,17
2020-03-24,Subbaiyapalya,Mangammanapalya,17,39,25,11
2022-01-01,MG Road,Ramohalli,15,36,25,11
2020-04-27,Visthar,Nandi Hills,12,35,30,11
2021-07-28,Mukthi Nagar,Papanahalli,19,27,26,24
2021-07-09,Pulikeshi Nagar,Maragondanahalli Main Road,20,32,27,21
2021-02-20,Ashwini Layout,Sadduguntepalya,18,29,30,19
2020-10-16,Amrita Nagar,Akshaya Nagar-Ramamurthy Nagar,17,35,29,19
2020-02-26,Sunkadakatte,New BEL Road,17,34,30,29
2021-03-07,HBR Layout,Mudalapalya,14,35,25,17
2021-08-08,Langford Gardens,Nagamuneshwara Layout,20,33,29,15
2022-05-22,Tilak Nagar,Anjana Nagar,20,25,27,21
2020-10-05,Syndicate Bank Colony-Arekere,MEI Layout,15,33,27,29
2022-03-10,Makali,Kuduragere-Bettahalasur,17,29,27,17
2021-03-22,Konanakunte,Bilekahalli,15,26,25,14
2020-04-12,Manorayana Palya,Lingaraja Puram,15,27,25,23
2020-09-23,Vittasandra,Vanivilas Road,20,39,29,24
2020-04-20,Munireddy Layout,Palace Road,20,39,25,16
2020-02-29,Thigala Chowdadenahalli,Anandapura,12,32,28,15
2020-11-01,Amrita Nagar,P&T Layout-Thanisandra,13,26,29,18
2021-11-21,Amaravathi Layout-Peenya,NGR Layout,12,33,29,23
2020-07-01,Ram Krishna Nagar,Peddanapalya,17,36,27,26
2022-05-10,Mariyappana Palya,AECS Layout – A Block,20,37,30,10
2021-06-26,Alur,RMV 2nd Stage,14,29,25,18
2020-07-01,Andrahalli,Subramanyanagar,16,40,25,19
2021-09-18,Mailasandra,Anjanapura 2nd block,16,30,25,28
2020-10-17,Muthkur,S.Medihalli,14,34,28,29
2021-10-29,Srinidhi Layout,Hebbal,15,30,28,30
2021-04-20,Popular Colony,Jayanagar,13,26,25,21
2022-04-16,Srinidhi Layout,Viswaneedam,20,33,26,21
2020-04-01,Vivekananda Nagar,AECS Layout – C Block,20,31,27,11
2022-01-12,Malleshwaram,Bannerghatta Road,20,37,25,21
2022-04-10,HBR Layout,Ravuthanahalli,19,25,25,17
2020-04-05,Udaya Nagar,Malle Nalsandra,13,25,29,21
2020-02-08,Akshaya Nagar-Ramamurthy Nagar,Lakkasandra Extension,19,28,27,15
2020-11-18,Nandi Durg Road,Tasker Town,16,26,29,15
2020-05-24,Vidyanagar,Sanjay Nagar,17,40,29,18
2022-04-17,Kukkanahalli,Vishweshwarapura,18,35,28,29
2021-06-04,Nobo Nagar,Mathrushree Layout,19,33,27,27
2021-04-03,Kadugodi,Vishweshwaraiah Layout,12,29,26,11
2021-01-13,Ramanjaneyanagar,Aduru-Anekal,17,26,30,26
2021-12-29,Kamala Nagar,Royal County,20,30,30,25
2021-02-02,Armane Nagar,Kalkere,12,38,28,28
2020-09-06,Akshaya Nagar-Ramamurthy Nagar,Subbaiyapalya,14,30,28,24
2022-03-20,Subramanyanagar,Yettakodi,18,29,28,12
2020-12-25,Rukmini Nagar,Hegde Nagar,12,34,27,12
2020-09-10,Vignana Kendra,Hegde Nagar,12,28,29,17
2021-08-31,Bellandur,Sadaramangala,20,34,26,24
2021-09-13,Vidyanagar,Vijinapura,16,37,25,16
2020-10-16,Guttahalli,Uttarahalli Main Road,18,32,29,20
2021-06-27,Nagegowdanapalya,Rajeshwari Nagar,13,26,29,26
2020-04-28,RK Township,Neeladri Nagar,20,38,27,25
2021-01-23,Marsur,Vagata,20,38,25,12
2022-05-20,Thigala Chowdadenahalli,Muneswara Nagar,15,38,26,18
2020-02-06,VHBCS Layout,Anekal Thally Road,17,26,27,13
2021-05-09,Maragondanahalli-Electronic City,AECS Layout – A Block,14,31,25,25
2020-11-04,Langford Gardens,Sunkalpalya,15,38,29,20
2021-12-10,P and T Layout-Ramamurthy Nagar,Lake City,14,35,27,16
2022-01-13,Laggere,Vagdevi Layout,17,40,26,28
2020-07-08,Attur Layout,Pai Layout,13,40,26,30
2022-02-11,Nagarabhavi 1st stage,Agara-HSR Layout,15,39,28,15
2020-04-04,Lottegollahalli,Seshadripuram,12,30,26,23
2020-02-17,Sanjay Gandhi Nagar,Konanakunte,17,29,27,20
2020-06-11,Vijayashri Layout,Thondebavi,13,39,28,30
2021-01-08,Anekal – Hosur Road,PNB Layout,15,37,30,26
2021-11-14,Vinayaka Nagar-Vimanapura,Nimbekaipura,17,28,29,22
2020-10-31,Umar Nagar,Sadaramangala,15,33,27,16
2021-10-07,Vyalikaval,Rangadasapp Layout,16,25,26,22
2021-08-15,Syndicate Bank Colony-Arekere,Attibele – Anekal Road,18,31,28,17
2021-10-24,Reddypalya,Parappana Agrahara,16,37,27,15
2020-11-02,Matadahalli,Veersandra,14,34,30,23
2021-09-25,Viswaneedam,Koramangala 2nd Block,17,31,27,18
2020-03-03,Ramanna Garden,Adugodi,14,28,30,19
2020-02-05,Srirampura,Kushal Nagar,19,37,30,12
2020-09-09,V Nagenahalli,Madanayakahalli,13,30,28,12
2022-04-07,Nyanappana Halli,Guttahalli,19,31,29,18
2020-02-02,Nethaji Layout,Basavanagudi,16,30,30,25
2021-11-10,Soundarya Layout,S K Garden,13,33,25,15
2021-06-08,Kushal Nagar,Rotary Nagar,18,26,25,19
2020-03-27,Venkatapura,Mukthi Nagar,16,36,25,11
2020-03-02,NICE Road,Thanisandra Road,18,25,30,16
2021-10-26,Razack Palya,NRI Layout,15,27,25,11
2021-09-19,Ullal Main Road,NS Palya,15,37,29,13
2021-01-21,Kothanoor,Anantapuram,18,34,30,20
2021-11-24,Marsandra-Anagalapura,Rajiv Gandhi Nagar,12,25,26,29
2021-01-01,A Dasarahalli,Kuduragere-Bettahalasur,12,35,29,10
2020-11-10,Taralu,Hoodi,16,27,27,26
2020-06-11,Tilak Nagar,Magrath Road,17,30,27,21
2021-03-01,Adarsh Nagar-Nelamangala,Samruddi Layout,17,36,27,17
2022-05-28,Papareddipalya,Anepalya,19,36,25,20
2021-05-10,Navarathna Agrahara,Tank Bund Road,15,30,25,16
2020-12-10,Manorayana Palya,Laggere,18,29,26,24
2020-03-17,Sunkalpalya,Thammenahalli,14,34,25,10
2022-05-21,Nanda Kumar Layout,Hoskote,15,40,27,24
2020-04-02,Rampura,KV Muniyappa Garden Layout,18,26,29,14
2021-02-07,Yarandahalli,Kuduregere-Soladevanahalli,15,32,29,22
2020-05-20,Thubarahalli,Vaderamanchana Halli,14,35,30,30
2021-07-27,Vajarahalli,Thomas Town,12,39,26,16
2020-07-05,Thavarekere-Hoskote,Syndicate Bank Colony-Arekere,20,28,26,19
2021-04-17,MG Road,Vasantha Vallabha Nagar,13,33,28,18
2020-10-30,Alfa Gardens,Domlur,14,25,26,18
2020-06-16,Avenue Road,Nagarur,12,25,25,19
2021-01-18,Paradise Colony,Thidlu,16,31,30,14
2020-05-13,Nelakadiranahalli,Mission Road,16,27,29,13
2020-10-26,Madavara,Nethaji Layout,14,26,29,24
2022-05-11,P&T Layout-Thanisandra,Cox Town,15,32,30,17
2020-05-18,Sunkadakatte,Mandur,14,27,28,23
2022-03-13,Nimbekaipura,Subbaiyapalya,14,27,30,23
2020-09-06,Popular Colony,Maragondanahalli-Electronic City,12,34,29,26
2022-02-09,Mylanahalli,Hosur Road,12,35,29,30
2021-01-29,Murugesh Palya,Rangadasapp Layout,18,39,26,10
2020-08-05,Hegde Nagar,Kumbena Agrahara,19,37,29,30
2021-08-10,Kalena Agrahara,Laggere Road,15,39,25,12
2021-05-22,Aduru-Aavalahalli,BTM Layout,17,39,27,21
2022-04-13,Addiganahalli,Thubarahalli,15,40,26,20
2022-01-08,Guttahalli,Ramohalli,18,29,28,14
2021-12-02,Meenakunte,Meenakshi Layout,12,34,26,15
2020-09-28,Varanasi Main Road,Madavara,14,32,29,17
2021-10-22,Belatur,Kattigenahalli,12,37,26,20
2020-11-15,Muneshwara Block,Mathikere,18,40,25,10
2020-06-16,Yeshwanthpur,Suryanagar,16,36,26,26
2021-06-22,Thirumalashettyhally,Thotada Guddadhalli,18,35,25,22
2022-04-05,Armane Nagar,Srinivaspur,18,29,25,11
2020-06-26,Nirman Layout,Bellandur,19,37,29,16
2020-12-09,MC Layout,Lakkondally,13,35,26,24
2021-03-09,St. Johns Road,Attibele,13,40,29,13
2021-12-20,BTM Layout,Bellandur Outer Ring Road,17,26,30,11
2022-03-17,Maligondanahalli,Minhaj Nagar,16,33,27,22
2021-07-31,Pattandur Agrahara,Lakkondally,16,28,29,10
2021-03-23,Maligondanahalli,Nimbekaipura,12,25,29,20
2020-07-21,Machohalli,Koramangala 4th Block,20,29,28,28
2020-03-15,New Gurappana Palya,Navarathna Agrahara,16,32,26,17
2021-06-09,Pura,Poojena Agrahara,12,26,28,11
2020-03-18,NR Layout,Krishnasagara,20,39,27,21
2021-06-08,Begur,Syndicate Bank Colony-Arekere,18,26,26,28
2020-08-19,Lakshmidevipura,Bommenahalli,12,35,27,12
2020-08-13,Addiganahalli,Dasarahalli Hebbal,12,31,26,22
2020-09-13,MCECHS Layout,Naraganahalli,15,27,30,16
2020-08-18,Neeladri Investment Layout,Pramod Layout,16,30,26,14
2020-03-21,St. Johns Road,MS Palya,12,34,30,23
2021-12-20,Rajaji Nagar,Tannery Road,19,39,28,16
2020-07-02,Achit Nagar,Pramod Layout,20,33,28,14
2020-03-31,Alfa Gardens,Lakshminarayana Pura,14,39,26,25
2021-07-20,Maragondanahalli Main Road,Arehalli,15,34,25,17
2021-03-23,State Bank of India Colony,Vagdevi Layout,20,28,28,19
2021-08-12,Sunny Layout,Panathur,17,32,28,15
2021-01-05,Ashok Nagar,Sakalavara,20,34,28,15
2021-06-02,Hoodi,Thattekuppe,16,39,29,24
2021-05-31,Chandapura,Medaralli,18,40,27,28
2021-02-28,Tannery Road,Adarsh Nagar-Nelamangala,15,25,27,23
2020-11-29,Yekadantha Layout,Raghuvanahalli,16,40,25,17
2022-04-04,Choodasandra,Devarachikkanahalli,15,27,30,29
2020-07-31,MTS Layout,Neeladri Investment Layout,12,33,28,18
2021-12-22,Andrahalli Main Road,Varanasi,17,38,25,11
2020-03-18,Nelamangala – Chikkaballapura Road,Kalena Agrahara,18,39,25,28
2021-02-11,Vaderamanchana Halli,Lakkenahalli,19,40,26,16
2021-06-26,Viveka Nagar,Doddabommasandra,16,36,29,26
2021-10-19,Rajeshwari Nagar,Magrath Road,18,25,30,18
2022-05-14,Amruthnagar,Manjunatha Layout,19,33,28,11
2020-07-03,Kodihalli,Raghavendra Colony,20,27,29,19
2022-03-01,Rahuthnahalli Main Road,Mayaghanahalli,19,26,29,25
2021-03-24,Bapuji Nagar,Narayana Nagar 1st Block,18,35,27,26
2021-03-22,Koramangala 2nd Block,Nagapura,18,29,27,16
2020-06-03,Om Shakti Layout,Pukhraj Layout,17,39,28,28
2021-01-10,MEI Layout,Kumara Park West,17,32,26,15
2022-02-09,Narayanapura,Muthanallur,18,30,26,30
2021-12-22,Nandi Durg Road,Ashraya Layout,13,36,27,29
2021-02-07,Ullal,Weavers Colony,15,34,25,27
2021-03-18,Averahalli,Mavallipura,15,25,28,29
2021-10-08,Prashant Nagar,Nyanappana Halli,19,35,27,30
2022-02-27,Sakalavara,Mittaganahalli,12,29,27,24
2022-01-14,NICE Road,Mahaganapathi Nagar,12,37,25,29
2020-07-10,Basavanagudi,Ragihalli,14,29,30,30
2022-05-14,Panathur,Kurudusonnenahalli,16,36,27,19
2020-12-18,Vajarahalli,Andrahalli,16,29,27,24
2021-09-29,Rajvi Nagar,MLA Layout,19,33,26,24
2021-06-14,Vijaya Nagar,Virgonagar,15,29,26,23
2021-01-17,Pukhraj Layout,Kempegowda Nagar,15,39,26,10
2021-12-09,Lakshmidevipura,Marathahalli ORR,18,28,27,14
2021-11-07,Tasker Town,Nandini Layout,17,34,27,17
2021-09-10,Millers Road,TC Palya,20,40,28,13
2021-05-31,Tavarekere Main Road,Thyagaraja Nagar 2nd Block,13,38,26,18
2021-01-19,Jakkur,Anekal Thally Road,15,30,30,30
2022-03-14,OMBR Layout,Narasapura Industrial Road,15,30,28,23
2020-05-24,Kasavanahalli,Papanahalli,15,28,30,17
2021-07-08,RMV,Upkar Layout,17,32,26,28
2021-09-30,PNB Layout,Kamala Nagar,15,38,27,24
2022-03-11,Krishnasagara,Ramaswamipalya,20,39,28,30
2020-06-12,Thanisandra,Wilson Garden,20,40,27,10
2021-03-15,Agrahara Badavane,Rajaji Nagar 1st Stage,16,38,28,23
2020-03-31,Anekal,Uttarahalli Main Road,18,31,29,17
2020-12-07,Rest House Road,Agrahara Badavane,12,31,25,19
2021-08-03,Thurahalli,Agrahara Badavane,19,31,25,23
2020-03-10,Attur Layout,Syndicate Bank Layout,14,34,29,22
2021-02-17,Vaderamanchana Halli,Outer Ring Road-Banaswadi,16,39,30,13
2020-03-25,Queens Road,Poornapragna Housing Society Layout,12,35,26,21
2020-11-13,Sunny Layout,Sanchar Nagar MCECHS Layout,12,32,25,21
2021-01-06,Mariyannapalya,Dasarahalli Hebbal,20,26,27,12
2020-12-23,RT Nagar,Masti – Malur Road,13,39,27,21
2021-09-18,Thyagaraja Nagar 2nd Block,RHB Colony,19,26,30,12
2020-10-10,BTM Layout,Rahmath Nagar,18,36,28,12
2021-11-06,Mahadevapura,Jakkur,15,40,28,11
2021-10-12,Maligondanahalli,Avenue Road,14,32,28,29
2022-02-20,Peenya,Vittal Nagar,19,29,29,18
2021-11-24,Nanda Kumar Layout,Vijayashri Layout,18,25,27,28
2020-04-18,Madappanahalli,Vidyamanya Nagar,20,39,30,14
2022-02-09,Rajeshwari Nagar,Razack Palya,15,31,29,26
2020-08-30,Sadduguntepalya,Varthur Kodi,20,31,27,30
2021-08-25,Sadashiva Nagar,MEI Layout,12,27,28,16
2021-12-10,Thammasettihalli,NICE Road,14,38,28,20
2020-04-18,Pura,Thigala Chowdadenahalli,12,31,27,17
2022-05-21,Teacher’s Colony,Vishwanathpura,19,34,25,18
2021-12-20,Jayamahal,Margondanahalli,14,29,29,23
2021-05-23,S.Bingipura,Hosur Road,15,29,26,15
2021-06-22,Annapurneswari Layout,Srinivagilu,13,35,26,11
2021-06-27,Nagenahalli,Amarjyothi Layout-RMV Layout,12,25,26,20
2022-04-13,Rajeshwari Nagar,S K Garden,15,33,28,17
2020-07-07,Sampigehalli,Anagalapura,14,25,26,15
2021-04-10,Udaypura,Padarayana Pura,12,29,27,15
2021-10-25,Vabasandra,Nallurhalli,13,27,28,29
2020-04-29,Puttenahalli,Uttari,16,29,27,30
2021-01-16,Hombegowda Nagar,Victoria Layout,18,37,27,16
2021-08-08,Mysore Road,Popular Colony,18,39,25,16
2020-02-16,Thurahalli,Talaghattapura,13,30,28,16
2021-03-19,Abbaiah Reddy Layout,Attibele – Anekal Road,14,31,29,15
2021-05-05,Nanjamba Agrahara,Raghavendra Colony,16,33,29,13
2020-03-06,Belathur Main Road,Rajiv Gandhi Nagar,13,34,25,29
2021-12-19,Nagarathpete,Muneswara Nagar,14,35,25,15
2020-07-08,Vinayakanagar-Hebbal,Thanisandra Road,12,28,27,27
2020-04-08,Thammenahalli,MTS Layout,16,25,25,26
2021-07-06,RMV Extension,Nanjappa Garden,18,34,26,19
2020-07-06,Kadugondanahalli,Meenakshi Layout,15,29,27,21
2022-04-25,Pattegarhpalya,ACL Layout,16,40,26,14
2020-05-11,CV Raman Nagar,Adarsh Nagar-Nelamangala,19,39,27,26
2020-12-18,Muddinapalya,Ramamurthy Nagar,16,36,25,27
2020-12-25,Nimbekaipura,Masti – Malur Road,18,25,27,27
2020-07-06,Ravuthanahalli,Thanisandra Main Road,16,39,27,27
2021-03-23,Hennur,Srinivaspura,12,32,25,27
2020-12-25,Tumkur Road,Kurubarahalli,20,35,27,20
2022-04-18,Arkavathy Layout,R.K. Hegde Nagar,12,39,27,25
2020-10-27,Nagarathpete,Andrahalli Main Road,17,26,25,25
2020-02-07,Thambuchetty Palya,Attibele – Anekal Road,13,28,27,27
2022-03-04,Millers Road,Riches Garden Main Road,12,31,29,12
2021-03-06,Samruddi Layout,Krishnasagara,18,34,29,26
2021-10-12,Krishnappa Garden,Sadguru Layout,13,30,26,22
2020-07-18,Adarsh Nagar-Nelamangala,Gandhi Nagar,13,29,26,11
2020-08-18,Nandi Hills,Sulthangunta,13,33,28,19
2020-02-26,Pottery Town,Viswaneedam,15,25,25,12
2021-09-10,Nagamangala,Kunigal Road,17,37,30,14
2021-04-19,Thondebavi,Thammasettihalli,19,26,28,25
2022-05-06,Old Byappanahalli,Naganathapura,13,34,28,27
2021-09-16,Abbigere,Suggatta,12,29,28,28
2020-04-06,Old Madras Road,Hongasandra,15,35,25,29
2020-12-04,Vagdevi Layout,Vanivilas Road,19,33,30,27
2022-05-15,Amaravathi Layout-Peenya,Harlur,12,29,30,10
2020-11-25,Bellahalli,Ananth Nagar Phase 2,13,34,28,25
2021-05-01,Talacauvery Layout,Atmananda Colony,20,38,28,18
2021-03-31,Samruddi Layout,Pattegarhpalya,17,38,29,16
2020-07-09,MS Palya,Kodihalli,17,27,26,14
2020-05-24,Kadubeesanahalli,Anekal Thally Road,13,25,25,20
2020-07-20,Magrath Road,Yerthiganahalli,20,35,27,19
2021-10-22,Attur Layout,Ragavendra Nagar-Sunkadakatte,18,30,25,24
2020-03-08,Subramanyapura Main Road,AECS Layout – A Block,16,25,26,16
2021-08-17,Kushal Nagar,Padmanabha Nagar,17,34,27,27
2020-02-22,Nanjappa Layout,Kumbiganahalli,15,36,27,17
2020-10-13,Langford Road,Akkipete,18,31,26,14
2021-06-25,Ram Krishna Nagar,Talaghattapura,19,30,30,19
2021-12-22,Vignana Kendra,CV Raman Nagar,19,26,27,25
2021-06-08,Sarjapur,Sulikere,19,39,25,27
2021-03-12,MC Layout,Annapurneswari Layout,14,38,27,25
2021-05-11,Visthar,Lakkasandra,20,26,30,30
2021-02-12,Vijaya Bank Layout,Chikkalasandra,19,32,27,25
2021-10-11,Majestic,Padmanabha Nagar,12,39,26,15
2020-07-23,Koramangala 2nd Block,Thambuchetty Palya,12,27,28,18
2021-09-17,Bannerghatta Road,Malleshwaram,20,26,26,20
2020-05-28,Valepura,Kengeri Satellite Town,17,30,27,18
2020-12-28,Nagarathpete,Anjanapura 2nd block,15,31,25,12
2022-04-28,Pavamanapura,Suggatta,16,37,30,15
2021-08-17,Tunganagara,Vishwanathpura,14,36,30,19
2021-12-29,Amrutahalli-Byatarayanapura,Vijaya Bank Colony,16,34,27,15
2020-02-23,Austin Town,Nagarabhavi Main Road,20,31,28,10
2021-12-14,Bapuji Nagar,Kumbalgodu Industrial Area,16,34,26,25
2020-12-12,Rest House Road,Pura,13,39,27,23
2022-01-11,Vagdevi Layout,Sanjay Nagar,18,29,27,25
2021-08-23,NS Palya,Bilekahalli,15,25,25,14
2021-07-21,Mariyannapalya,Laggere,15,28,28,10
2021-07-25,Peddanapalya,Mandur,16,29,27,16
2021-10-08,Mathikere,Hongasandra,15,36,28,23
2022-01-21,Sadenahalli,Teacher’s Colony,12,37,30,11
2021-01-14,Ambedkar Veedhi,Thindlu,19,27,30,28
2021-11-20,Mahalakshmi Layout,Ashirvad Colony,16,35,25,23
2020-10-01,MS Palya,Mahadeva Kodigehalli,16,25,27,24
2021-01-01,Ambedkar Veedhi,Kudlu,18,35,26,21
2021-07-18,Mallathahalli,Maruthi Sevanagar,19,36,27,13
2021-10-21,Malleswaram West,Wilson Garden,12,35,29,11
2021-01-05,Muthanallur,Mayaghanahalli,16,31,27,16
2021-07-11,Ashok Nagar,Nellukunte,18,27,26,20
2021-01-14,Attibele – Anekal Road,Adityanagar-Vidyaranyapura,13,38,27,19
2021-05-17,Malleswaram West,Thippasandra,17,34,28,10
2022-01-24,Ramsandra,Sadahalli,14,37,26,10
2021-04-09,Mariyappana Palya,Pai Layout,13,39,29,29
2022-01-23,Vabasandra,Vijaya Bank Colony,16,35,25,17
2021-01-26,Mariyappana Palya,Maralakunte,14,27,26,14
2022-04-11,Lakkasandra Extension,LB Shastri Nagar,18,31,29,29
2020-09-23,Gandhi Nagar,Laljinagar,20,32,28,23
2020-07-18,Udaypura,Nagavara,19,29,26,23
2020-03-05,Laggere,Thambuchetty Palya,14,35,26,30
2021-01-03,Nagavara,Vittal Nagar,17,29,27,13
2020-05-30,Lakkondally,Basaveshwara Nagar,18,30,29,28
2021-12-31,Tataguni,Srinivaspura,12,29,29,16
2021-12-04,Reshme Nagara,Battarahalli,16,29,29,12
2020-07-27,RMV,JP Nagar,15,27,29,27
2021-09-10,Marathahalli,TC Palya Road,16,25,28,17
2020-06-09,Ramanna Garden,Begur,14,40,26,24
2022-03-20,Vidyamanya Nagar,Vidhana Soudha,20,39,25,20
2020-08-31,MTS Layout,Udaya Nagar,19,40,26,13
2020-11-22,Bannerghatta Road,Attiguppe,13,34,29,10
2021-02-22,Ullal,Madhura Nagar,14,36,25,23
2021-07-21,Bommasandra,Thambuchetty Palya,13,26,26,16
2020-08-29,Thidlu,Lalbagh Road,19,29,26,20
2020-07-01,Rajaji Nagar,Annapurneswari Layout,14,32,29,17
2021-02-04,B Narayanapura,Nagegowdanapalya,16,26,27,15
2021-08-17,Nagarabhavi Main Road,Attibele Industrial Area,17,32,30,30
2021-11-14,Mahalakshmi Layout,Vishwapriya Nagar,20,25,28,18
2020-10-01,Annasandrapalya Extension,VHBCS Layout,19,36,25,16
2021-09-18,TC Palya Road,Anjana Nagar,19,26,28,26
2020-12-23,Kudlu Gate,Vaddarapalya,16,37,27,10
2021-12-15,Neraganahalli,Thattekuppe,18,35,27,26
2022-03-23,Aduru-Anekal,Rajaji Nagar,14,31,29,26
